join_order;execution_tree;time_total;mem_peak;time_load;mem_load;time_filters;mem_filters;time_joins;mem_joins
// Timestamp 2023-04-17T21:38:59
[11, 9, 8, 2, 4, 3, 10, 0, 1, 6, 7, 5];((((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X]((((kt[s]kt.kind[in]['movie'])[X]((cct1[s]cct1.kind[in]['cast'])[X]((((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X]mk)[X]((t[s]t.production_year[>]1950)[X](n[X]ci)))[X]((cct2[s]cct2.kind[like]['%complete%'])[X]cc))))[XS]t.id=mk.movie_id[XS]ci.movie_id=cc.movie_id)[XS]mk.movie_id=cc.movie_id;88.29246854782104;22262914658;35.50605392456055;7658146482;44.27331614494324;4672470782;[45.049060583114624, 45.146748304367065, 52.61818981170654, 77.96104717254639, 85.66875338554382, 86.6689682006836, 86.95238852500916, 87.18693709373474, 87.40260481834412, 87.50458765029907, 88.29002213478088, 88.29246520996094];[4367434072, 3744305524, 13638168021, 22262914658, 9783005060, 1040439192, 717521254, 632366403, 497598838, 425655293, 268100590, 511722]
[11, 9, 8, 2, 4, 3, 10, 0, 1, 6, 7, 5];((((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X]((((kt[s]kt.kind[in]['movie'])[X]((cct1[s]cct1.kind[in]['cast'])[X]((((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X]mk)[X]((t[s]t.production_year[>]1950)[X](n[X]ci)))[X]((cct2[s]cct2.kind[like]['%complete%'])[X]cc))))[XS]t.id=mk.movie_id[XS]ci.movie_id=cc.movie_id)[XS]mk.movie_id=cc.movie_id;81.54702305793762;22262911376;34.70516037940979;7658141431;43.17568063735962;4672467106;[43.77050280570984, 43.864625453948975, 50.59423542022705, 72.18772912025452, 79.2117931842804, 80.05540609359741, 80.3267776966095, 80.53001093864441, 80.75467586517334, 80.86616373062134, 81.54453945159912, 81.54701805114746];[4367430684, 3744302358, 13638164797, 22262911376, 9783001778, 1040435910, 717517972, 632363179, 497594869, 425651382, 268096679, 507461]
[11, 9, 8, 2, 4, 3, 10, 0, 1, 6, 7, 5];((((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X]((((kt[s]kt.kind[in]['movie'])[X]((cct1[s]cct1.kind[in]['cast'])[X]((((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X]mk)[X]((t[s]t.production_year[>]1950)[X](n[X]ci)))[X]((cct2[s]cct2.kind[like]['%complete%'])[X]cc))))[XS]t.id=mk.movie_id[XS]ci.movie_id=cc.movie_id)[XS]mk.movie_id=cc.movie_id;81.98523163795471;22262910459;35.54029417037964;7658140747;44.24637794494629;4672466141;[44.80984139442444, 44.90402626991272, 51.45541310310364, 72.72783184051514, 79.739093542099, 80.59359836578369, 80.82697129249573, 81.05661177635193, 81.2426085472107, 81.33835697174072, 81.9830949306488, 81.98522877693176];[4367429428, 3744301209, 13638163822, 22262910459, 9783000861, 1040434819, 717516881, 632362088, 497594938, 425651161, 268096458, 507530]
[11, 9, 8, 2, 4, 3, 10, 0, 1, 6, 7, 5];((((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X]((((kt[s]kt.kind[in]['movie'])[X]((cct1[s]cct1.kind[in]['cast'])[X]((((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X]mk)[X]((t[s]t.production_year[>]1950)[X](n[X]ci)))[X]((cct2[s]cct2.kind[like]['%complete%'])[X]cc))))[XS]t.id=mk.movie_id[XS]ci.movie_id=cc.movie_id)[XS]mk.movie_id=cc.movie_id;84.97019863128662;22262920517;34.57728815078735;7658151893;42.90621900558472;4672476988;[43.47163939476013, 43.56503939628601, 50.205843687057495, 74.4897792339325, 82.3763325214386, 83.39408421516418, 83.67006134986877, 83.89072155952454, 84.10363721847534, 84.20705008506775, 84.96742582321167, 84.97019505500793];[4367440249, 3744311600, 13638173938, 22262920517, 9783010919, 1040444993, 717527055, 632372262, 497605233, 425661630, 268106594, 518306]
[11, 9, 8, 2, 4, 3, 10, 0, 1, 6, 7, 5];((((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X]((((kt[s]kt.kind[in]['movie'])[X]((cct1[s]cct1.kind[in]['cast'])[X]((((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X]mk)[X]((t[s]t.production_year[>]1950)[X](n[X]ci)))[X]((cct2[s]cct2.kind[like]['%complete%'])[X]cc))))[XS]t.id=mk.movie_id[XS]ci.movie_id=cc.movie_id)[XS]mk.movie_id=cc.movie_id;85.3321521282196;22262911278;36.738049030303955;7658142213;45.521544218063354;4672466655;[46.383466958999634, 46.4824492931366, 53.71143198013306, 75.99667263031006, 82.93775773048401, 83.78948640823364, 84.04973983764648, 84.25665545463562, 84.48799538612366, 84.5856077671051, 85.3300096988678, 85.33214807510376];[4367430301, 3744301970, 13638164699, 22262911278, 9783001680, 1040435580, 717517584, 632362733, 497595235, 425651400, 268096581, 507882]
[1, 6, 7, 10, 11, 5, 9, 8, 3, 4, 2, 0];((kt[s]kt.kind[in]['movie'])[X]((((n[X]((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X](((t[s]t.production_year[>]1950)[X]mk)[X]((cct2[s]cct2.kind[like]['%complete%'])[X]((cct1[s]cct1.kind[in]['cast'])[X](((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X](ci[X]cc)))))))[XS]t.id=cc.movie_id[XS]mk.movie_id=ci.movie_id[XS]t.id=ci.movie_id);52.87093782424927;4932024636;34.690813064575195;7658145121;43.32274580001831;4672470284;[45.004666805267334, 48.1059148311615, 51.11456322669983, 51.11781549453735, 51.11995887756348, 51.51384496688843, 51.51828145980835, 52.86399507522583, 52.86583495140076, 52.86637258529663, 52.86688828468323, 52.8709352016449];[4932024636, 4575316503, 2213216903, 1443175342, 1443174679, 1579601085, 875932377, 1211191899, 507414, 486757, 486869, 533590]
[1, 6, 7, 10, 11, 5, 9, 8, 3, 4, 2, 0];((kt[s]kt.kind[in]['movie'])[X]((((n[X]((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X](((t[s]t.production_year[>]1950)[X]mk)[X]((cct2[s]cct2.kind[like]['%complete%'])[X]((cct1[s]cct1.kind[in]['cast'])[X](((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X](ci[X]cc)))))))[XS]t.id=cc.movie_id[XS]mk.movie_id=ci.movie_id[XS]t.id=ci.movie_id);52.84609889984131;4932025239;34.390321493148804;7658145961;43.02568531036377;4672470838;[44.67413258552551, 47.85323476791382, 51.06840109825134, 51.07207250595093, 51.074227809906006, 51.482805013656616, 51.48744869232178, 52.8390953540802, 52.84120059013367, 52.84173798561096, 52.842262268066406, 52.84609627723694];[4932025239, 4575317404, 2213217688, 1443176011, 1443175290, 1579601754, 875933046, 1211192452, 507099, 486326, 486438, 533391]
[1, 6, 7, 10, 11, 5, 9, 8, 3, 4, 2, 0];((kt[s]kt.kind[in]['movie'])[X]((((n[X]((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X](((t[s]t.production_year[>]1950)[X]mk)[X]((cct2[s]cct2.kind[like]['%complete%'])[X]((cct1[s]cct1.kind[in]['cast'])[X](((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X](ci[X]cc)))))))[XS]t.id=cc.movie_id[XS]mk.movie_id=ci.movie_id[XS]t.id=ci.movie_id);54.300026416778564;4932025843;36.0762574672699;7658146614;44.805811405181885;4672471670;[46.42109680175781, 49.48999357223511, 52.529099225997925, 52.53276443481445, 52.53490138053894, 52.95901536941528, 52.96335029602051, 54.29283571243286, 54.29509663581848, 54.2956440448761, 54.2961802482605, 54.300023794174194];[4932025843, 4575317902, 2213218305, 1443176458, 1443175737, 1579602201, 875933493, 1211193015, 507778, 487121, 487233, 534128]
[1, 6, 7, 10, 11, 5, 9, 8, 3, 4, 2, 0];((kt[s]kt.kind[in]['movie'])[X]((((n[X]((k[s]k.keyword[in]['superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence'])[X](((t[s]t.production_year[>]1950)[X]mk)[X]((cct2[s]cct2.kind[like]['%complete%'])[X]((cct1[s]cct1.kind[in]['cast'])[X](((chn[s]chn.name[not-like]%Sherlock%)[s]chn.name[like]['%Tony%Stark%', '%Iron%Man%'])[X](ci[X]cc)))))))[XS]t.id=cc.movie_id[XS]mk.movie_id=ci.movie_id[XS]t.id=ci.movie_id);54.34791898727417;4932027465;35.18616700172424;7658149866;43.937416076660156;4672473562;[46.04642343521118, 49.16058349609375, 52.315529108047485, 52.31873559951782, 52.32090997695923, 52.80480456352234, 52.808802127838135, 54.3401780128479, 54.34263801574707, 54.3432559967041, 54.34380841255188, 54.34791612625122];[4932027465, 4575319461, 2213219859, 1443178128, 1443177465, 1579603929, 875935279, 1211194859, 510144, 489429, 489541, 536204]
